"","major","contMitMt_National & Public_1975","contMitMt_Private_1975","contMitMt_Total_1975","contMitMt_National & Public_2019","contMitMt_Private_2019","contMitMt_Total_2019","contFitFt_National & Public_1975","contFitFt_Private_1975","contFitFt_Total_1975","contFitFt_National & Public_2019","contFitFt_Private_2019","contFitFt_Total_2019"
"37","Agricultural sciences: Others",0,0.000728522985162241,0.000574332699776878,0.0333695372566953,0.0103358568607818,0.0160171451130788,0,0.00126810112083776,0.000932330827067669,0.0357699844043668,0.00997753091463319,0.0153314269350012
"38","Medicine",0.0512885197547155,0.0058439073989633,0.015527642343608,0.0543630491325349,0.00950767819878159,0.020571315774632,0.0165265788278055,0.00378385011862881,0.00715789473684211,0.0341304434758268,0.00644218531496001,0.0121896050103136
"39","Dentistry",0.00731584258324924,0.00626320120337322,0.00649533096438311,0.00450167204961843,0.00366363780986515,0.00387034008234166,0.00448659700136302,0.00339523848482369,0.00368421052631579,0.00575838765145759,0.00292778991143305,0.00351535425391068
"40","Pharmacy",0.00993557401226422,0.00797706462889878,0.0084042641104041,0.0126046817389316,0.0192680210741056,0.0176244994642152,0.0452067242162653,0.0664730426245603,0.0608421052631579,0.0119966409405366,0.0334941260887555,0.0290317626990616
"41","Nursing",0,5.24117255512403e-06,4.13188992645236e-06,0.00528767828050419,0.00709800582064551,0.00665148609779482,0.000965470240799636,0.0011249284136464,0.00108270676691729,0.0888951093693766,0.0655531637414955,0.0703983929809125
"42","Health: Others",0.000853838391678957,0.000964375750142822,0.000942070903231138,0.016391802669563,0.0364585770299735,0.031509080142124,0.0033507496592458,0.00750634050560419,0.00640601503759399,0.0710401087695445,0.0481383131949573,0.0528921778179901
"43","Merchant marine",0.0059962741597454,0,0,0.00125760996941721,0,0.000310191190570188,0,0,0,0.000279921621945855,0,5.81050289902591e-05
"44","Home economics",0,6.81352432166124e-05,5.37145690438807e-05,0.00041443964901249,0.0018809481475936,0.00151923185381535,0.0161858246251704,0.0329501758978974,0.0285112781954887,0.00491862278562003,0.0217620162468771,0.0182657308990093
"45","Food science",1.94054179927036e-05,1.57235176653721e-05,1.65275597058094e-05,0.000771715208506017,0.00364960088339057,0.0029397665106311,0.0130054520672422,0.0306389593389512,0.0259699248120301,0.0109169432558884,0.0418008788607283,0.0353901130142814
"46","Clothing",1.94054179927036e-05,0,4.13188992645236e-06,0,0.000266701603017003,0.000200919293892053,0.00761017719218537,0.0200850854945594,0.016781954887218,0,0.00580320433250056,0.00459859800865765
"47","Housing",0.000194054179927036,0,4.13188992645236e-05,0,0.000369639063830584,0.0002784670915346,0.00391867333030441,0.00274073468052033,0.00305263157894737,0.00073979285799976,0.00087990823814088,0.000850823638785937
"48","Child",0,0,0,0,0.000467897549152638,0.000352489989284304,0.00499772830531577,0.0180193078622269,0.0145714285714286,0,0.00582939207768333,0.0046193498047256
"49","Pedagogy",0.004909570752154,0.00461223184850915,0.00468143128667052,0.00420156057964387,0.0130777364988162,0.0108884157689922,0.0116992276238074,0.0361204286999918,0.0296541353383459,0.0102171392010237,0.0280942130320695,0.0243833603798409
"50","Elementary school education",0.0617674454707754,0,0.0131518056358979,0.0167633692514362,0,0.00413470757430489,0.352112676056338,0,0.0932330827067669,0.0282720838165314,0,0.00586860792801617
"51","Junior high school education",0.0364433749902973,0,0.00775968928187753,0.00141481121559436,0,0.000348965089391461,0.118582462517038,0,0.0313984962406015,0.00161954652697245,0,0.000336179096300785
"52","High school education",0.0016494605293798,0,0.000351210643748451,0,0,0,0.00647432985006815,0,0.00171428571428571,0,0,0
"53","Specialized subjects education",0.0114491966156951,0,0.00243781505660689,0,0,0,0.0321444797819173,0,0.00851127819548872,0,0,0
"54","Visually impaired education",0.000155243343941628,0,3.30551194116189e-05,0,0,0,0.000965470240799636,0,0.000255639097744361,0,0,0
"55","Deaf education",0.000310486687883257,0,6.61102388232377e-05,0,0,0,0.00283961835529305,0,0.00075187969924812,0,0,0
"56","Special school education",0.00310486687883257,0,0.000661102388232377,0,0,0,0.0312925942753294,0,0.00828571428571429,0.00017994961410805,0,3.73532329223094e-05
"57","Kindergarten education",0.000194054179927036,0,4.13188992645236e-05,4.28730671392231e-05,0,1.05746996785291e-05,0.016753748296229,0,0.00443609022556391,0.000679809653297077,0,0.000141112213262058
"58","Physical education",0.00337654273073042,0.0133859547057868,0.011271795719362,0.00491611169863092,0.0225199090407164,0.0181779087473916,0.00249886415265788,0.0187351713981838,0.0144360902255639,0.00347902587275563,0.0153407811280633,0.0128785646397696
"59","Pedagogy: Others",0.00267794768299309,0,0.000570200809850426,0.0719410066596164,0.0162687977840372,0.0300004229879871,0.0182303498409814,0.0124151190378794,0.0139548872180451,0.135082176990443,0.0525326168366251,0.0696679297593207
"60","Fine arts",0.00390048901653342,0.00253148634412491,0.00282621270969341,0.00208648926744219,0.00201195946135634,0.00203034233827759,0.00533848250795093,0.00734271455452835,0.00681203007518797,0.00895749190226736,0.00707592874838291,0.0074664962252483
"61","Design",0.00104789257160599,0.0035325503021536,0.00300801586645732,0.001600594506531,0.00518898382010275,0.00430390276916136,0.000738300772376193,0.00670866399410947,0.00512781954887218,0.0055984324389171,0.0132300488663325,0.0116459079533334
"62","Music",0.00263913684700768,0.00183441039429341,0.00200809850425585,0.00161488552891074,0.00275591656450904,0.00247447972477582,0.0124943207632894,0.0665753088439827,0.0522556390977444,0.0054984604310793,0.012779619649189,0.0112682252648967
"63","Fine arts: Others",0.00197935263525576,0.00493718454692684,0.00431369308321626,0.00158630348415126,0.00763608800217104,0.00614390051322542,0.00403225806451613,0.00803812484660067,0.00697744360902256,0.0105570440276723,0.0159116739730476,0.0148001809556617
"64","Liberal arts",0.0021928122331755,0.000607976016394388,0.00094620279315759,0.00307256981164432,0.00155809883867828,0.00193164514127799,0.00147660154475239,0.00470424609343042,0.00384962406015038,0.00591834286399808,0.0033991693247228,0.00392208945684249
