"","major","National & Public_1975","Private_1975","Total_1975","National & Public_1990","Private_1990","Total_1990","National & Public_2005","Private_2005","Total_2005","National & Public_2019","Private_2019","Total_2019"
"50","Elementary school education",14.5172615292781,0,4.00406385354345,9.01887281462776,0,2.40288208893579,0.677682285240725,0,0.142738817828375,0.575435728254756,0,0.086695017685564
"51","Junior high school education",4.10695437633702,0,1.1819403479362,1.78584792676154,0,0.492690242151177,0.0383068870584428,0,0.00713161391786829,0.0102367655689042,0,0.000639299654533822
"52","High school education",0.241243466034417,0,0.0681537535268632,0.00101647036747988,0,0.000413743236669433,0,0,0,0,0,0
"53","Specialized subjects education",1.03476415831111,0,0.303673156944091,0.692587987269866,0,0.188377915483313,0.0169763755240453,0,0.00367158363768863,0,0,0
"54","Visually impaired education",0.0405113448429004,0,0.0111291989166371,0.0281733889279004,0,0.00738837276892399,0,0,0,0,0,0
"55","Deaf education",0.12645658337049,0,0.0342884730212441,0.109488326807964,0,0.0286130605964449,0,0,0,0,0,0
"56","Special school education",1.40938636982484,0,0.381230594874095,1.08750673990493,0,0.286114700236642,0.072963159389323,0,0.0158410651521052,0.00899748070540249,0,0.00186766164611547
"57","Kindergarten education",0.827984705815098,0,0.219738566314969,1.28707055371142,0,0.334880560033429,0.0379812492005681,0,0.00829357951147989,0.0318468293078927,0,0.00652687567917643
"58","Physical education",0.0438839289036269,0.267460834619849,0.158214725310094,0.0010036460742737,0.135499332384565,0.0864016375704502,0.0734444868812515,0.0174612028321372,0.025464510674898,0.0718542912937646,0.358956395632657,0.2649672053811
"59","Pedagogy: Others",0.777620107899414,0.62075595189397,0.669234320409734,1.0198669580591,0.885377372818418,0.921664580801971,5.38078379145206,0.844429634772341,1.80424345169759,3.15705851654131,1.8131909526294,1.98337533856668
"60","Fine arts",0.0718996745708758,0.240561410520172,0.199290868274728,0.124355007450682,0.236973742877269,0.208090077115631,0.212578358411122,0.287144945596242,0.271472553021552,0.343550131741259,0.253198464351328,0.271807694348535
"61","Design",0.01547958996149,0.158805684597793,0.105990184120743,0.032688384534382,0.210883119228187,0.162376313892683,0.0878389951923626,0.332295965856149,0.280665791402232,0.199891896619305,0.402053252311488,0.3671002592086
"62","Music",0.492759195814086,3.23704492248446,2.51237702967443,0.422981208787986,2.55837789631289,2.00401157065049,0.272271698101828,0.874232651909234,0.743037575288097,0.194178745108428,0.501185154233996,0.439687277006043
"63","Fine arts: Others",0.102645271463018,0.155047014983692,0.133187526290315,0.139258366627468,0.246602810637421,0.21503058648222,0.174399721670357,0.442247150437041,0.386131330887032,0.44853702717605,0.413779298543827,0.432814022121814
"64","Liberal arts",0.0358105344211559,0.204813503851802,0.145171063349639,0.115276410583221,0.201659487163645,0.183494129193577,0.145425990099058,0.0493035722200661,0.0697213305035949,0.142288652617688,0.092053524302226,0.0995222157782251
