"","major","year","men","women","type"
"6224","経営工学",1984,488,32,2
"6225","工芸学",1984,628,165,2
"6226","その他",1984,9712,397,2
"6227","農学",1984,5151,1147,2
"6228","農芸化学",1984,3849,1290,2
"6229","農業工学",1984,3614,85,2
"6230","農業経済学",1984,812,149,2
"6231","林学",1984,2286,161,2
"6232","林産学",1984,497,88,2
"6233","獣医学畜産学",1984,2653,829,2
"6234","水産学",1984,3239,303,2
"6235","その他",1984,1944,523,2
"6236","医学",1984,23775,3404,2
"6237","歯学",1984,4307,790,2
"6238","薬学",1984,1828,2497,2
"6239","看護学",1984,2,321,2
"6240","医学専門学群",1984,445,165,2
"6241","その他",1984,175,357,2
"6242","商船学",1984,1485,54,2
"6243","家政学",1984,0,232,2
"6244","食物学",1984,0,266,2
"6245","被服学",1984,0,257,2
"6246","住居学",1984,0,132,2
"6247","児童学",1984,0,144,2
"6248","教育学",1984,1708,1595,2
"6249","小学校課程",1984,22537,27002,2
"6250","中学校課程",1984,10379,7436,2
"6251","高等学校課程",1984,69,20,2
"6252","特別教科課程",1984,3037,2540,2
"6253","盲学校課程",1984,25,79,2
"6254","聾学校課程",1984,105,254,2
"6255","養護学校課程",1984,1566,2886,2
"6256","幼稚園課程",1984,405,3216,2
"6257","体育学",1984,147,30,2
"6258","体育専門学群",1984,784,193,2
"6259","その他",1984,173,1745,2
"6260","美術",1984,282,123,2
"6261","デザイン",1984,121,70,2
"6262","音楽",1984,344,633,2
"6263","芸術専門学群",1984,245,169,2
"6264","その他",1984,164,116,2
"6265","教養学",1984,539,248,2
"6266","総合科学部総合科学科",1984,373,154,2
"6267","教養課程（文科）",1984,3558,810,2
"6268","教養課程（理科）",1984,5900,548,2
"6269","教養課程（その他）",1984,0,0,2
"6270","人文・社会科学",1984,577,293,2
"6271","国際関係学部・国際関係学",1984,0,0,2
"6272","昭和57年度",1983,286544,80597,2
"6273","昭和58年度",1983,289971,84787,2
"6274","文学",1983,5481,5980,2
"6275","史学",1983,1132,696,2
"6276","哲学",1983,745,472,2
"6277","その他",1983,5065,3753,2
"6278","法学政治学",1983,16680,2006,2
"6279","商学経済学",1983,32293,2317,2
"6280","社会学",1983,917,283,2
"6281","その他",1983,2422,375,2
"6282","数学",1983,3825,841,2
"6283","物理学",1983,4656,471,2
"6284","化学",1983,3501,1191,2
"6285","生物学",1983,2601,931,2
"6286","地学",1983,2024,278,2
"6287","その他",1983,2905,362,2
"6288","機械工学",1983,19737,70,2
"6289","電気通信工学",1983,23847,605,2
"6290","土木建築工学",1983,14292,375,2
"6291","応用化学",1983,16425,1200,2
"6292","応用理学",1983,2884,69,2
"6293","原子力工学",1983,711,10,2
"6294","鉱山学",1983,1273,16,2
"6295","金属工学",1983,3854,45,2
"6296","繊維工学",1983,1908,236,2
"6297","船舶工学",1983,529,3,2
"6298","航空工学",1983,333,4,2
"6299","経営工学",1983,484,25,2
"6300","工芸学",1983,625,159,2
"6301","その他",1983,9500,355,2
"6302","農学",1983,5175,1091,2
"6303","農芸化学",1983,3808,1279,2
"6304","農業工学",1983,3617,87,2
"6305","農業経済学",1983,830,123,2
"6306","林学",1983,2320,141,2
"6307","林産学",1983,501,82,2
"6308","獣医学畜産学",1983,2681,769,2
"6309","水産学",1983,3320,274,2
"6310","その他",1983,1878,510,2
"6311","医学（進学課程）",1983,8165,1285,2
"6312","医学（専門課程）",1983,15489,1817,2
"6313","歯学（進学課程）",1983,1502,293,2
"6314","歯学（専門課程）",1983,2606,395,2
"6315","薬学",1983,1846,2482,2
"6316","看護学",1983,4,301,2
"6317","医学専門学群（1,2年次）",1983,147,53,2
"6318","医学専門学群（3,4,5,6年次）",1983,314,102,2
"6319","その他",1983,182,345,2
"6320","商船学",1983,1504,38,2
"6321","家政学",1983,0,229,2
"6322","食物学",1983,0,261,2
"6323","被服学",1983,0,251,2
"6324","住居学",1983,0,134,2
"6325","児童学",1983,0,140,2
"6326","教育学",1983,1731,1570,2
"6327","小学校課程",1983,22818,26329,2
"6328","中学校課程",1983,10467,7391,2
"6329","高等学校課程",1983,70,17,2
"6330","特別教科課程",1983,3062,2523,2
"6331","盲学校課程",1983,33,74,2
"6332","聾学校課程",1983,104,251,2
"6333","養護学校課程",1983,1633,2821,2
"6334","幼稚園課程",1983,396,3222,2
"6335","体育学",1983,22,0,2
"6336","体育専門学群",1983,779,190,2
"6337","その他",1983,159,1736,2
"6338","美術",1983,287,121,2
"6339","デザイン",1983,119,73,2
"6340","音楽",1983,360,619,2
"6341","芸術専門学群",1983,219,168,2
"6342","その他",1983,182,105,2
"6343","教養学",1983,565,236,2
"6344","総合科学部総合科学科",1983,377,152,2
"6345","教養課程（文科）",1983,3580,769,2
"6346","教養課程（理科）",1983,5895,536,2
"6347","教養課程（その他）",1983,0,0,2
"6348","人文・社会科学",1983,575,274,2
"6349","国際関係学部・国際関係学",1983,0,0,2
"6350","昭和56年度",1982,282282,78095,2
"6351","昭和57年度",1982,286544,80597,2
"6352","文学",1982,6052,5916,2
"6353","史学",1982,1418,721,2
"6354","哲学",1982,781,476,2
"6355","その他",1982,4892,3204,2
"6356","法学政治学",1982,16676,1652,2
"6357","商学経済学",1982,31802,1970,2
"6358","社会学",1982,836,243,2
"6359","その他",1982,1745,194,2
"6360","数学",1982,3833,777,2
"6361","物理学",1982,4654,439,2
"6362","化学",1982,3455,1118,2
"6363","生物学",1982,2582,864,2
"6364","地学",1982,2031,259,2
"6365","その他",1982,2239,197,2
"6366","機械工学",1982,19360,59,2
"6367","電気通信工学",1982,23275,464,2
"6368","土木建築工学",1982,13990,309,2
"6369","応用化学",1982,16003,941,2
"6370","応用理学",1982,2826,58,2
"6371","原子力工学",1982,722,6,2
"6372","鉱山学",1982,1209,14,2
"6373","金属工学",1982,3680,40,2
"6374","繊維工学",1982,2113,246,2
"6375","船舶工学",1982,537,1,2
"6376","航空工学",1982,341,2,2
"6377","経営工学",1982,523,15,2
"6378","工芸学",1982,628,139,2
"6379","その他",1982,9807,333,2
"6380","農学",1982,5220,996,2
"6381","農芸化学",1982,3818,1210,2
"6382","農業工学",1982,3630,74,2
"6383","農業経済学",1982,846,97,2
"6384","林学",1982,2330,126,2
"6385","林産学",1982,503,77,2
"6386","獣医学畜産学",1982,2734,682,2
"6387","水産学",1982,3292,239,2
"6388","その他",1982,1824,476,2
"6389","医学（進学課程）",1982,8263,1149,2
"6390","医学（専門課程）",1982,15072,1560,2
"6391","歯学（進学課程）",1982,1520,271,2
"6392","歯学（専門課程）",1982,2302,334,2
"6393","薬学",1982,1834,2466,2
"6394","看護学",1982,9,282,2
"6395","医学専門学郡（1,2年次）",1982,146,53,2
"6396","医学専門学群（3,4,5,6,年次）",1982,333,82,2
"6397","その他",1982,183,337,2
"6398","商船学",1982,1494,22,2
"6399","家政学",1982,0,230,2
"6400","食物学",1982,0,259,2
"6401","被服学",1982,0,245,2
"6402","住居学",1982,0,131,2
"6403","児童学",1982,0,141,2
"6404","教育学",1982,1676,1554,2
"6405","小学校課程",1982,22495,25497,2
"6406","中学校課程",1982,10505,7349,2
"6407","高等学校課程",1982,77,16,2
"6408","特別教科課程",1982,2916,2559,2
"6409","盲学校課程",1982,26,54,2
"6410","聾学校課程",1982,99,259,2
"6411","養護学校課程",1982,1630,2805,2
"6412","幼稚園課程",1982,410,3085,2
"6413","体育学",1982,24,2,2
"6414","体育専門学群",1982,783,191,2
"6415","その他",1982,494,2006,2
"6416","美術",1982,291,122,2
"6417","デザイン",1982,112,78,2
"6418","音楽",1982,365,612,2
"6419","芸術専門学群",1982,189,162,2
"6420","その他",1982,172,114,2
"6421","教養学",1982,581,238,2
"6422","総合科学部総合科学科",1982,372,167,2
"6423","教養課程（文科）",1982,3565,764,2
"6424","教養課程（理科）",1982,5819,528,2
"6425","教養課程（その他）",1982,0,0,2
"6426","人文・社会科学",1982,580,239,2
"6427","国際関係学部・国際関係学",1982,0,0,2
"6428","昭和55年度",1981,276501,76912,2
"6429","昭和56年度",1981,282282,78095,2
"6430","文学",1981,6301,5614,2
"6431","史学",1981,1236,657,2
"6432","哲学",1981,794,464,2
"6433","その他",1981,4763,2840,2
"6434","法学政治学",1981,15738,1418,2
"6435","商学経済学",1981,31100,1708,2
"6436","社会学",1981,793,203,2
"6437","その他",1981,1978,197,2
"6438","数学",1981,3806,734,2
"6439","物理学",1981,4646,405,2
"6440","化学",1981,3398,1118,2
"6441","生物学",1981,2607,840,2
"6442","地学",1981,2014,228,2
"6443","その他",1981,2334,177,2
"6444","機械工学",1981,19230,46,2
"6445","電気通信工学",1981,23024,362,2
"6446","土木建築工学",1981,13644,242,2
"6447","応用化学",1981,15731,725,2
"6448","応用理学",1981,2848,40,2
"6449","原子力工学",1981,724,2,2
"6450","鉱山学",1981,1200,10,2
"6451","金属工学",1981,3620,24,2
"6452","繊維工学",1981,2213,229,2
"6453","船舶工学",1981,360,1,2
"6454","航空工学",1981,327,0,2
"6455","経営工学",1981,518,10,2
"6456","工芸学",1981,622,136,2
"6457","その他",1981,9874,290,2
"6458","農学",1981,5307,946,2
"6459","農芸化学",1981,3904,1129,2
"6460","農業工学",1981,3655,46,2
"6461","農業経済学",1981,866,76,2
"6462","林学",1981,2423,91,2
"6463","林産学",1981,486,77,2
"6464","獣医学畜産学",1981,2814,616,2
"6465","水産学",1981,3376,219,2
"6466","その他",1981,1768,431,2
"6467","医学（進学課程）",1981,8059,1029,2
"6468","医学（専門課程）",1981,14606,1448,2
"6469","歯学（進学課程）",1981,1560,227,2
"6470","歯学（専門課程）",1981,1853,291,2
"6471","薬学",1981,1751,2571,2
"6472","看護学",1981,8,253,2
"6473","医学専門学群（1,2年次）",1981,138,62,2
"6474","医学専門学群（3,4,5,6年次）",1981,340,68,2
"6475","その他",1981,193,324,2
"6476","商船学",1981,1515,8,2
"6477","家政学",1981,0,229,2
"6478","食物学",1981,0,254,2
"6479","被服学",1981,0,246,2
"6480","住居学",1981,0,129,2
"6481","児童学",1981,0,142,2
"6482","教育学",1981,1664,1547,2
"6483","小学校課程",1981,21773,25538,2
"6484","中学校課程",1981,10427,7509,2
"6485","高等学校課程",1981,85,17,2
"6486","特別教科課程",1981,2868,2558,2
"6487","盲学校課程",1981,32,56,2
"6488","聾学校課程",1981,85,271,2
"6489","養護学校課程",1981,1539,2823,2
"6490","幼稚園課程",1981,380,3043,2
"6491","体育学",1981,23,3,2
"6492","体育専門学群",1981,775,200,2
"6493","その他",1981,434,1973,2
"6494","美術",1981,297,122,2
"6495","デザイン",1981,109,80,2
"6496","音楽",1981,361,613,2
"6497","芸術専門学群",1981,186,140,2
"6498","その他",1981,177,110,2
"6499","教養学",1981,575,204,2
"6500","総合科学部総合科学科",1981,372,171,2
"6501","教養課程（文科）",1981,3593,756,2
"6502","教養課程（理科）",1981,5898,492,2
"6503","教養課程（その他）",1981,0,0,2
"6504","人文・社会科学",1981,564,237,2
"6505","国際関係学部・国際関係学",1981,0,0,2
"6506","昭和54年度",1980,269706,76736,2
"6507","昭和55年度",1980,276501,76912,2
"6508","文学",1980,5890,5291,2
"6509","史学",1980,1217,655,2
"6510","哲学",1980,774,459,2
"6511","その他",1980,4797,2642,2
"6512","法学政治学",1980,15064,1175,2
"6513","商学経済学",1980,29670,1600,2
"6514","社会学",1980,773,192,2
"6515","その他",1980,2357,189,2
"6516","数学",1980,3740,715,2
"6517","物理学",1980,4535,390,2
"6518","化学",1980,3294,1087,2
"6519","生物学",1980,2528,825,2
"6520","地学",1980,1888,197,2
"6521","その他",1980,2588,195,2
"6522","機械工学",1980,18902,36,2
"6523","電気通信工学",1980,22635,289,2
"6524","土木建築工学",1980,13186,184,2
"6525","応用化学",1980,15700,603,2
"6526","応用理学",1980,2841,45,2
"6527","原子力工学",1980,738,3,2
"6528","鉱山学",1980,1135,8,2
"6529","金属工学",1980,3733,21,2
"6530","繊維工学",1980,2290,203,2
"6531","船舶工学",1980,357,1,2
"6532","航空工学",1980,324,0,2
"6533","経営工学",1980,522,6,2
"6534","工芸学",1980,626,115,2
"6535","その他",1980,9680,222,2
"6536","農学",1980,5410,852,2
"6537","農芸化学",1980,4019,1105,2
"6538","農業工学",1980,3662,37,2
"6539","農業経済学",1980,836,74,2
"6540","林学",1980,2430,78,2
"6541","林産学",1980,508,73,2
"6542","獣医学畜産学",1980,2872,604,2
"6543","水産学",1980,3452,202,2
"6544","その他",1980,1678,385,2
"6545","医学(進学課程)",1980,7723,838,2
"6546","医学(専門課程)",1980,14276,1379,2
"6547","歯学(進学課程)",1980,1431,178,2
"6548","歯学(専門課程)",1980,1578,259,2
"6549","薬学",1980,1660,2656,2
"6550","看護学",1980,5,257,2
"6551","医学専門学群(1．2年次)",1980,150,53,2
"6552","医学専門学群(3,4,5,6年次)",1980,358,54,2
"6553","その他",1980,196,324,2
"6554","商船学",1980,1590,5,2
"6555","家政学",1980,0,229,2
"6556","食物学",1980,0,246,2
"6557","被服学",1980,0,248,2
"6558","住居学",1980,0,132,2
"6559","児童学",1980,0,139,2
"6560","教育学",1980,1502,1445,2
"6561","小学校課程",1980,20609,26160,2
"6562","中学校課程",1980,10343,7745,2
"6563","高等学校課程",1980,175,137,2
"6564","特別教科課程",1980,2932,2599,2
"6565","盲学校課程",1980,39,55,2
"6566","聾学校課程",1980,80,258,2
"6567","養護学校課程",1980,1398,2833,2
"6568","幼稚園課程",1980,283,3074,2
"6569","体育学",1980,19,4,2
"6570","体育専門学群",1980,772,203,2
"6571","その他",1980,419,1852,2
"6572","美術",1980,307,114,2
"6573","デザイン",1980,114,80,2
"6574","音楽",1980,353,615,2
"6575","芸術専門学群",1980,177,126,2
"6576","その他",1980,179,114,2
"6577","教養学",1980,588,178,2
"6578","総合科学部総合学科",1980,371,169,2
"6579","教養課程(文科)",1980,3767,758,2
"6580","教養課程(埋科)",1980,5901,429,2
"6581","教養課程(その他)",1980,0,0,2
"6582","人文・社会科学",1980,555,209,2
"6583","国際関係学部・国際関係学",1980,0,0,2
"6584","昭和53年度",1979,262298,77113,2
"6585","昭和54年度",1979,269706,76736,2
"6586","文学",1979,5902,5137,2
"6587","史学",1979,1182,664,2
"6588","哲学",1979,842,480,2
"6589","その他",1979,4485,2304,2
"6590","法学政治学",1979,14350,1071,2
"6591","商学経済学",1979,28335,1547,2
"6592","社会学",1979,751,183,2
"6593","その他",1979,2421,174,2
"6594","数学",1979,3581,721,2
"6595","物理学",1979,4465,353,2
"6596","化学",1979,3265,1059,2
"6597","生物学",1979,2388,754,2
"6598","地学",1979,1690,164,2
"6599","その他",1979,2971,285,2
"6600","機械工学",1979,18601,25,2
"6601","電気通信工学",1979,22483,228,2
"6602","土木建築工学",1979,12820,157,2
"6603","応用化学",1979,15636,457,2
"6604","応用理学",1979,2779,35,2
"6605","原子力工学",1979,723,6,2
"6606","鉱山学",1979,1153,8,2
"6607","金属工学",1979,3802,18,2
"6608","繊維工学",1979,2326,189,2
"6609","船舶工学",1979,378,1,2
"6610","航空工学",1979,335,0,2
"6611","経営工学",1979,545,5,2
"6612","工芸学",1979,645,114,2
"6613","その他",1979,9164,161,2
"6614","農学",1979,5465,813,2
"6615","農芸化学",1979,4057,1084,2
"6616","農業工学",1979,3672,33,2
"6617","農業経済学",1979,836,47,2
"6618","林学",1979,2445,62,2
"6619","林産学",1979,556,55,2
"6620","獣医学畜産学",1979,2893,575,2
"6621","水産学",1979,3520,177,2
"6622","その他",1979,1628,299,2
"6623","医学（進学課程）",1979,7655,758,2
"6624","医学（専門課程）",1979,13463,1279,2
"6625","歯学（進学課程）",1979,1192,167,2
"6626","歯学（専門課程）",1979,1318,233,2
"6627","薬学",1979,1494,2754,2
"6628","看護学",1979,7,235,2
"6629","医学専門学群（1,2年次）",1979,160,40,2
"6630","医学専門学群（3,4,5,6年次）",1979,349,49,2
"6631","その他",1979,174,338,2
"6632","商船学",1979,1854,0,2
"6633","家政学",1979,0,213,2
"6634","食物学",1979,0,244,2
"6635","被服学",1979,0,253,2
"6636","住居学",1979,0,129,2
"6637","児童学",1979,0,139,2
"6638","教育学",1979,1397,1351,2
"6639","小学校課程",1979,19060,27370,2
"6640","中学校課程",1979,10049,8086,2
"6641","高等学校課程",1979,294,240,2
"6642","特別教科課程",1979,2870,2671,2
"6643","盲学校課程",1979,39,69,2
"6644","聾学校課程",1979,80,258,2
"6645","養護学校課程",1979,1294,2892,2
"6646","幼稚園課程",1979,246,2963,2
"6647","体育学",1979,16,4,2
"6648","体育専門学群",1979,774,209,2
"6649","その他",1979,448,1670,2
"6650","美術",1979,312,112,2
"6651","デザイン",1979,122,70,2
"6652","音楽",1979,351,609,2
"6653","芸術専門学群",1979,182,118,2
"6654","その他",1979,169,129,2
"6655","教養学",1979,606,157,2
"6656","総合科学部総合科学科",1979,375,169,2
"6657","教養課程（文科）",1979,3938,750,2
"6658","教養課程（理科）",1979,5907,415,2
"6659","教養課程（その他）",1979,0,0,2
"6660","人文・社会科学",1979,421,148,2
"6661","国際関係学部・国際関係学",1979,0,0,2
"6662","昭和52年度",1978,254223,77188,2
"6663","昭和53年度",1978,262298,77113,2
"6664","文学",1978,6255,5148,2
"6665","史学",1978,1161,679,2
"6666","哲学",1978,875,440,2
"6667","その他",1978,2880,1768,2
"6668","法学政治学",1978,13930,1022,2
"6669","商学経済学",1978,27311,1483,2
"6670","社会学",1978,714,182,2
"6671","その他",1978,2780,195,2
"6672","数学",1978,3418,687,2
"6673","物理学",1978,4283,331,2
"6674","化学",1978,3106,1046,2
"6675","生物学",1978,2201,701,2
"6676","地学",1978,1431,101,2
"6677","その他",1978,4332,577,2
"6678","機械工学",1978,18334,22,2
"6679","電気通信工学",1978,21781,187,2
"6680","土木建築工学",1978,12225,117,2
"6681","応用化学",1978,15546,398,2
"6682","応用理学",1978,2683,26,2
"6683","原子力工学",1978,717,7,2
"6684","鉱山学",1978,1145,9,2
"6685","金属工学",1978,3858,19,2
"6686","繊維工学",1978,2303,174,2
"6687","船舶工学",1978,580,0,2
"6688","航空工学",1978,336,1,2
"6689","経営工学",1978,575,2,2
"6690","工芸学",1978,652,122,2
"6691","その他",1978,8841,139,2
"6692","農学",1978,5448,815,2
"6693","農芸化学",1978,4099,1076,2
"6694","農業工学",1978,3672,22,2
"6695","農業経済学",1978,814,43,2
"6696","林学",1978,2466,50,2
"6697","林産学",1978,601,46,2
"6698","獣医学畜産学",1978,2920,520,2
"6699","水産学",1978,3583,162,2
"6700","その他",1978,1523,283,2
"6701","医学（進学課程）",1978,7365,696,2
"6702","医学（専門課程）",1978,12879,1248,2
"6703","歯学（進学課程）",1978,1000,150,2
"6704","歯学（専門課程）",1978,1207,227,2
"6705","薬学",1978,1372,2880,2
"6706","看護学",1978,24,208,2
"6707","医学専門学群（1,2年次）",1978,168,29,2
"6708","医学専門学群（3,4,5,6年次）",1978,265,34,2
"6709","その他",1978,177,350,2
"6710","商船学",1978,1878,0,2
"6711","家政学",1978,0,209,2
"6712","食物学",1978,0,238,2
"6713","被服学",1978,0,242,2
"6714","住居学",1978,0,124,2
"6715","児童学",1978,0,141,2
"6716","教育学",1978,1255,1203,2
"6717","小学校課程",1978,17622,28717,2
"6718","中学校課程",1978,9698,8513,2
"6719","高等学校課程",1978,366,383,2
"6720","特別教科課程",1978,2821,2716,2
"6721","盲学校課程",1978,51,77,2
"6722","聾学校課程",1978,83,261,2
"6723","養護学校課程",1978,1226,2971,2
"6724","幼稚園課程",1978,187,2904,2
"6725","体育学",1978,19,1,2
"6726","体育専門学群",1978,744,217,2
"6727","その他",1978,277,1227,2
"6728","美術",1978,307,109,2
"6729","デザイン",1978,128,58,2
"6730","音楽",1978,351,601,2
"6731","芸術専門学群",1978,182,113,2
"6732","その他",1978,184,116,2
"6733","教養学",1978,630,147,2
"6734","総合科学部総合科学科",1978,366,153,2
"6735","教養課程（文科）",1978,3881,750,2
"6736","教養課程（理科）",1978,5922,408,2
"6737","教養課程（その他）",1978,0,0,2
"6738","人文・社会科学",1978,284,92,2
"6739","昭和51年度",1977,247754,75096,2
"6740","昭和52年度",1977,254223,77188,2
"6741","文学",1977,6240,5137,2
"6742","史学",1977,1124,723,2
"6743","哲学",1977,973,498,2
"6744","その他",1977,2582,1637,2
"6745","法学政治学",1977,13725,977,2
"6746","商学経済学",1977,26468,1413,2
"6747","社会学",1977,700,176,2
"6748","その他",1977,2498,170,2
"6749","数学",1977,3293,659,2
"6750","物理学",1977,4198,315,2
"6751","化学",1977,2991,977,2
"6752","生物学",1977,1984,667,2
"6753","地学",1977,1188,81,2
"6754","その他",1977,4633,642,2
"6755","機械工学",1977,18393,16,2
"6756","電気通信工学",1977,21434,160,2
"6757","土木建築工学",1977,11738,101,2
"6758","応用化学",1977,15586,379,2
"6759","応用理学",1977,2650,20,2
"6760","原子力工学",1977,744,3,2
"6761","鉱山学",1977,1183,6,2
"6762","金属工学",1977,3865,20,2
"6763","繊維工学",1977,2473,145,2
"6764","船舶工学",1977,640,0,2
"6765","航空工学",1977,339,2,2
"6766","経営工学",1977,615,0,2
"6767","工芸学",1977,631,96,2
"6768","その他",1977,7234,98,2
"6769","農学",1977,5527,802,2
"6770","農芸化学",1977,4060,1113,2
"6771","農業工学",1977,3680,24,2
"6772","農業経済学",1977,822,50,2
"6773","林学",1977,2497,55,2
"6774","林産学",1977,581,34,2
"6775","獣医学畜産学",1977,2938,489,2
"6776","水産学",1977,3547,142,2
"6777","その他",1977,1447,257,2
"6778","医学（進学課程）",1977,7050,648,2
"6779","医学（専門課程）",1977,12058,1165,2
"6780","歯学（進学課程）",1977,794,126,2
"6781","歯学（専門課程）",1977,1138,236,2
"6782","薬学",1977,1302,2901,2
"6783","看護学",1977,25,150,2
"6784","医学専門学群（1,2年次）",1977,171,28,2
"6785","医学専門学群（3,4,5,6年次）",1977,179,19,2
"6786","その他",1977,163,364,2
"6787","商船学",1977,1862,0,2
"6788","家政学",1977,0,205,2
"6789","食物学",1977,0,233,2
"6790","被服学",1977,0,242,2
"6791","住居学",1977,0,123,2
"6792","児童学",1977,0,148,2
"6793","教育学",1977,1108,1027,2
"6794","小学校課程",1977,16387,29878,2
"6795","中学校課程",1977,9320,8924,2
"6796","高等学校課程",1977,449,512,2
"6797","特別教科課程",1977,2779,2744,2
"6798","盲学校課程",1977,45,84,2
"6799","聾学校課程",1977,81,252,2
"6800","養護学校課程",1977,1118,3032,2
"6801","幼稚園課程",1977,160,2791,2
"6802","体育学",1977,37,5,2
"6803","体育専門学群",1977,727,214,2
"6804","その他",1977,108,648,2
"6805","美術",1977,304,110,2
"6806","デザイン",1977,126,50,2
"6807","音楽",1977,347,594,2
"6808","芸術専門学群",1977,141,81,2
"6809","その他",1977,206,138,2
"6810","教養学",1977,597,148,2
"6811","総合科学部総合科学科",1977,341,133,2
"6812","教養課程（文科）",1977,3862,778,2
"6813","教養課程（理科）",1977,6017,373,2
"6814","教養課程（その他）",1977,0,0,2
"6815","昭和50年度",1976,240200,72537,2
"6816","昭和51年度",1976,247754,75096,2
"6817","文学",1976,6289,4781,2
"6818","史学",1976,1135,742,2
"6819","哲学",1976,1013,510,2
"6820","その他",1976,2316,1359,2
"6821","法学政治学",1976,14542,946,2
"6822","商学経済学",1976,25106,1280,2
"6823","社会学",1976,659,162,2
"6824","その他",1976,2131,144,2
"6825","数学",1976,3356,649,2
"6826","物理学",1976,4216,303,2
"6827","化学",1976,3043,874,2
"6828","生物学",1976,1805,608,2
"6829","地学",1976,1118,75,2
"6830","その他",1976,4392,578,2
"6831","機械工学",1976,18165,15,2
"6832","電気通信工学",1976,20763,146,2
"6833","土木建築工学",1976,11419,101,2
"6834","応用化学",1976,15508,347,2
"6835","応用理学",1976,2646,17,2
"6836","原子力工学",1976,753,3,2
"6837","鉱山学",1976,1146,6,2
"6838","金属工学",1976,3806,12,2
"6839","繊維工学",1976,2468,136,2
"6840","船舶工学",1976,699,0,2
"6841","航空工学",1976,340,1,2
"6842","経営工学",1976,674,3,2
"6843","工芸学",1976,602,97,2
"6844","その他",1976,6419,72,2
"6845","農学",1976,5392,809,2
"6846","農芸化学",1976,4093,1088,2
"6847","農業工学",1976,3682,28,2
"6848","農業経済学",1976,844,46,2
"6849","林学",1976,2502,50,2
"6850","林産学",1976,575,38,2
"6851","獣医学畜産学",1976,2858,450,2
"6852","水産学",1976,3471,121,2
"6853","その他",1976,1367,211,2
"6854","医学（進学課程）",1976,6952,650,2
"6855","医学（専門課程）",1976,11077,1080,2
"6856","歯学（進学課程）",1976,707,114,2
"6857","歯学（専門課程）",1976,1073,242,2
"6858","薬学",1976,1322,2837,2
"6859","看護学",1976,25,92,2
"6860","医学専門学群（1,2年次）",1976,178,21,2
"6861","医学専門学群（3,4,5,6年次）",1976,86,13,2
"6862","その他",1976,163,349,2
"6863","商船学",1976,1882,0,2
"6864","家政学",1976,0,200,2
"6865","食物学",1976,0,227,2
"6866","被服学",1976,0,242,2
"6867","住居学",1976,0,116,2
"6868","児童学",1976,0,150,2
"6869","教育学",1976,1047,969,2
"6870","小学校課程",1976,15464,29868,2
"6871","中学校課程",1976,9001,9030,2
"6872","高等学校課程",1976,427,514,2
"6873","特別教科課程",1976,2748,2663,2
"6874","盲学校課程",1976,47,80,2
"6875","聾学校課程",1976,110,301,2
"6876","養護学校課程",1976,1008,2940,2
"6877","幼稚園課程",1976,140,2527,2
"6878","体育学",1976,212,58,2
"6879","体育専門学群",1976,543,167,2
"6880","その他",1976,120,350,2
"6881","美術",1976,318,98,2
"6882","デザイン",1976,118,39,2
"6883","音楽",1976,370,556,2
"6884","芸術専門学群",1976,92,55,2
"6885","その他",1976,246,145,2
"6886","教養学",1976,601,144,2
"6887","総合科学部総合科学科",1976,255,91,2
"6888","教養課程（文科）",1976,4001,995,2
"6889","教養課程（理科）",1976,6108,365,2
"6890","教養課程（その他）",1976,0,0,2
"6891","昭和49年度",1975,232809,69229,2
"6892","昭和50年度",1975,240200,72537,2
"6893","文学",1975,6340,4495,2
"6894","史学",1975,1137,751,2
"6895","哲学",1975,1069,533,2
"6896","その他",1975,2164,1264,2
"6897","法学政治学",1975,13141,906,2
"6898","商学経済学",1975,25670,1190,2
"6899","社会学",1975,735,168,2
"6900","その他",1975,1365,65,2
"6901","数学",1975,3397,642,2
"6902","物理学",1975,4137,294,2
"6903","化学",1975,3113,875,2
"6904","生物学",1975,1679,554,2
"6905","地学",1975,1050,62,2
"6906","その他",1975,4180,534,2
"6907","機械工学",1975,18020,16,2
"6908","電気通信工学",1975,19561,117,2
"6909","土木建築工学",1975,10675,88,2
"6910","応用化学",1975,15545,334,2
"6911","応用理学",1975,2584,18,2
"6912","原子力工学",1975,727,3,2
"6913","鉱山学",1975,1149,3,2
"6914","金属工学",1975,3723,12,2
"6915","繊維工学",1975,2473,125,2
"6916","船舶工学",1975,732,0,2
"6917","航空工学",1975,328,0,2
"6918","経営工学",1975,698,3,2
"6919","工芸学",1975,600,88,2
"6920","その他",1975,6040,68,2
"6921","農学",1975,5231,806,2
"6922","農芸化学",1975,4102,1033,2
"6923","農業工学",1975,3630,20,2
"6924","農業経済学",1975,833,56,2
"6925","林学",1975,2472,46,2
"6926","林産学",1975,552,36,2
"6927","獣医学畜産学",1975,2822,398,2
"6928","水産学",1975,3376,107,2
"6929","その他",1975,1226,212,2
"6930","医学（進学課程）",1975,6392,606,2
"6931","医学（専門課程)",1975,10383,990,2
"6932","歯学（進学課程）",1975,597,104,2
"6933","歯学（専門課程)",1975,1114,246,2
"6934","薬学",1975,1303,2828,2
"6935","看護学",1975,22,38,2
"6936","医学専門学群（1,2年次）",1975,178,21,2
"6937","医学専門学群（3,4,5,6年次）",1975,0,0,2
"6938","その他",1975,182,342,2
"6939","商船学",1975,1861,0,2
"6940","家政学",1975,0,181,2
"6941","食物学",1975,0,221,2
"6942","被服学",1975,0,230,2
