"","year","inst","numx","men","women"
"402",1976,3,18,193,1
"403",1976,3,19,35,1
"404",1976,3,20,0,0
"405",1976,3,21,0,0
"406",1976,3,22,75,0
"407",1976,3,23,0,0
"408",1976,3,24,25,0
"409",1976,3,25,28,0
"410",1976,3,26,21,0
"411",1976,3,27,0,0
"412",1976,3,28,0,0
"413",1976,3,29,61,20
"414",1976,3,30,56,6
"415",1976,3,31,19,0
"416",1976,3,32,0,0
"417",1976,3,33,36,0
"418",1976,3,34,0,0
"419",1976,3,35,47,3
"420",1976,3,36,0,0
"421",1976,3,37,0,0
"422",1976,3,38,517,55
"423",1976,3,39,93,15
"424",1976,3,40,155,190
"425",1976,3,41,0,24
"426",1976,3,42,0,0
"427",1976,3,43,0,0
"428",1976,3,44,0,220
"429",1976,3,45,2,171
"430",1976,3,46,0,81
"431",1976,3,47,10,33
"432",1976,3,48,0,58
"433",1976,3,49,0,0
"434",1976,3,50,0,0
"435",1976,3,51,0,0
"436",1976,3,52,0,0
"437",1976,3,53,0,0
"438",1976,3,54,0,0
"439",1976,3,55,0,0
"440",1976,3,56,0,0
"441",1976,3,57,0,0
"442",1976,3,58,0,0
"443",1976,3,59,43,124.5
"444",1976,3,60,129,61
"445",1976,3,61,52,14
"446",1976,3,62,26,101
"447",1976,3,63,15,11
"448",1976,3,64,0,0
"449",1976,4,1,7379,19290
"450",1976,4,2,2507,2421
"451",1976,4,3,2290,1234
"452",1976,4,4,1181,1401
"453",1976,4,5,27228,2124
"454",1976,4,6,79749,3382
"455",1976,4,7,5955,3878
"456",1976,4,8,1662,74
"457",1976,4,9,1110,383
"458",1976,4,10,1254,61
"459",1976,4,11,1198,273
"460",1976,4,12,48,24
"461",1976,4,13,153,16
"462",1976,4,14,794,75
"463",1976,4,15,10720,8
"464",1976,4,16,12272,22
"465",1976,4,17,13487,150
"466",1976,4,18,4157,109
"467",1976,4,19,721,15
"468",1976,4,20,156,0
"469",1976,4,21,57,0
"470",1976,4,22,637,3
"471",1976,4,23,0,0
"472",1976,4,24,217,0
"473",1976,4,25,245,0
"474",1976,4,26,3751,40
"475",1976,4,27,61,9
"476",1976,4,28,770,5
"477",1976,4,29,1037,94
"478",1976,4,30,884,107
"479",1976,4,31,291,1
"480",1976,4,32,866,28
"481",1976,4,33,321,2
"482",1976,4,34,0,0
"483",1976,4,35,1141,149
"484",1976,4,36,760,22
"485",1976,4,37,140,87
"486",1976,4,38,1446,223
"487",1976,4,39,1360,300
"488",1976,4,40,1680,3417
"489",1976,4,41,0,58
"490",1976,4,42,174,422
"491",1976,4,43,0,0
"492",1976,4,44,8,1798
"493",1976,4,45,9,1474
"494",1976,4,46,0,1019
"495",1976,4,47,0,73
"496",1976,4,48,0,1057
"497",1976,4,49,905,1959
"498",1976,4,50,0,0
"499",1976,4,51,0,0
"500",1976,4,52,0,0
"501",1976,4,53,0,0
"502",1976,4,54,0,0
"503",1976,4,55,0,0
"504",1976,4,56,0,0
"505",1976,4,57,0,0
"506",1976,4,58,2695,1031
"507",1976,4,59,0,374
"508",1976,4,60,492,349
"509",1976,4,61,682,345
"510",1976,4,62,345,3431
"511",1976,4,63,534,229
"512",1976,4,64,71.5,151.5
"513",1977,1,1,9181,23471
"514",1977,1,2,2965,2722
"515",1977,1,3,2581,1422
"516",1977,1,4,1391,1692
"517",1977,1,5,31344,2553
"518",1977,1,6,88975,4477
"519",1977,1,7,6139,4385
"520",1977,1,8,1803,115
"521",1977,1,9,2119,625
"522",1977,1,10,2444,132
"523",1977,1,11,2024,505
"524",1977,1,12,462,184
"525",1977,1,13,416,38
"526",1977,1,14,1092,148
"527",1977,1,15,14805,13
"528",1977,1,16,17131,59
"529",1977,1,17,16800,179
"530",1977,1,18,7831,201
"531",1977,1,19,1460,27
"532",1977,1,20,425,1
"533",1977,1,21,333,1
"534",1977,1,22,1646,2
"535",1977,1,23,518,29
"536",1977,1,24,417,0
"537",1977,1,25,381,1
"538",1977,1,26,4062,40
"539",1977,1,27,198,45
"540",1977,1,28,1118,10
"541",1977,1,29,2478,291
"542",1977,1,30,1992,412
"543",1977,1,31,1203,4
"544",1977,1,32,1352,45
"545",1977,1,33,964,10
"546",1977,1,34,157,14
"547",1977,1,35,1861,322
"548",1977,1,36,1493,46
"549",1977,1,37,187,85
"550",1977,1,38,2206,258
"551",1977,1,39,1013.5,210
"552",1977,1,40,2360,4689
"553",1977,1,41,1,85
"554",1977,1,42,127,237.5
"555",1977,1,43,0,0
"556",1977,1,44,12,2088
"557",1977,1,45,5,1907
"558",1977,1,46,0,1174
"559",1977,1,47,12,129
"560",1977,1,48,0,1236
"561",1977,1,49,1184,2494
"562",1977,1,50,3095,6946
"563",1977,1,51,1876,2131
"564",1977,1,52,81,119
"565",1977,1,53,588,578
"566",1977,1,54,13,12
"567",1977,1,55,19,60
"568",1977,1,56,176,683
"569",1977,1,57,14,468
"570",1977,1,58,3046,1299
"571",1977,1,59,54,699
"572",1977,1,60,794,457
"573",1977,1,61,775,387
"574",1977,1,62,494,3747
"575",1977,1,63,596,271.5
"576",1977,1,64,153.5,190
"577",1977,2,1,1166,1186
"578",1977,2,2,340,248
"579",1977,2,3,315,173
"580",1977,2,4,227,87
"581",1977,2,5,2897,190
"582",1977,2,6,5684,292
"583",1977,2,7,128,30
"584",1977,2,8,283,19
"585",1977,2,9,865,152
"586",1977,2,10,1055,71
"587",1977,2,11,771,174
"588",1977,2,12,395,138
"589",1977,2,13,266,23
"590",1977,2,14,383,73
"591",1977,2,15,4036,5
"592",1977,2,16,4407,26
"593",1977,2,17,2657,28
"594",1977,2,18,3411,79
"595",1977,2,19,708,6
"596",1977,2,20,252,1
"597",1977,2,21,261,0
"598",1977,2,22,949,1
"599",1977,2,23,518,29
"600",1977,2,24,194,0
"601",1977,2,25,111,0
"602",1977,2,26,185,3
"603",1977,2,27,112,24
"604",1977,2,28,414,7
"605",1977,2,29,1176,204
"606",1977,2,30,1069,291
"607",1977,2,31,856,4
"608",1977,2,32,230,9
"609",1977,2,33,586,7
"610",1977,2,34,157,14
"611",1977,2,35,610,111
"612",1977,2,36,727,27
"613",1977,2,37,33,4
"614",1977,2,38,1137.5,111.5
"615",1977,2,39,136,30.5
"616",1977,2,40,367,685
"617",1977,2,41,0,0
"618",1977,2,42,25,38
"619",1977,2,43,179.5,0
"620",1977,2,44,0,45
"621",1977,2,45,0,53
"622",1977,2,46,0,59
"623",1977,2,47,0,29
"624",1977,2,48,0,31
"625",1977,2,49,211,219
"626",1977,2,50,3095,6946
"627",1977,2,51,1876,2131
"628",1977,2,52,81,119
"629",1977,2,53,588,578
"630",1977,2,54,13,12
"631",1977,2,55,19,60
"632",1977,2,56,176,683
"633",1977,2,57,14,468
"634",1977,2,58,163,54
"635",1977,2,59,14,0.5
"636",1977,2,60,83,19
"637",1977,2,61,25,5
"638",1977,2,62,93,117
"639",1977,2,63,39,16
"640",1977,2,64,71,21
"641",1977,3,1,576,1242
"642",1977,3,2,19,22
"643",1977,3,3,2,0
"644",1977,3,4,48,43
"645",1977,3,5,339,45
"646",1977,3,6,2569,208
"647",1977,3,7,27,154
"648",1977,3,8,0,0
"649",1977,3,9,36,7
"650",1977,3,10,40,4
"651",1977,3,11,30,14
"652",1977,3,12,21,12
"653",1977,3,13,13,0
"654",1977,3,14,68,18
"655",1977,3,15,270,0
"656",1977,3,16,267,0
"657",1977,3,17,120,0
"658",1977,3,18,202,4
"659",1977,3,19,36,0
"660",1977,3,20,0,0
"661",1977,3,21,0,0
"662",1977,3,22,101,0
"663",1977,3,23,0,0
"664",1977,3,24,33,0
"665",1977,3,25,32,0
"666",1977,3,26,26,0
"667",1977,3,27,0,0
"668",1977,3,28,0,0
"669",1977,3,29,76,11
"670",1977,3,30,50,8
"671",1977,3,31,30,0
"672",1977,3,32,0,0
"673",1977,3,33,32,0
"674",1977,3,34,0,0
"675",1977,3,35,34,4
"676",1977,3,36,0,0
"677",1977,3,37,0,0
"678",1977,3,38,252,26
"679",1977,3,39,54.5,8
"680",1977,3,40,136,197
"681",1977,3,41,0,18
"682",1977,3,42,0,0
"683",1977,3,43,0,0
"684",1977,3,44,0,215
"685",1977,3,45,1,169
"686",1977,3,46,0,86
"687",1977,3,47,12,31
"688",1977,3,48,0,57
"689",1977,3,49,0,0
"690",1977,3,50,0,0
"691",1977,3,51,0,0
"692",1977,3,52,0,0
"693",1977,3,53,0,0
"694",1977,3,54,0,0
"695",1977,3,55,0,0
"696",1977,3,56,0,0
"697",1977,3,57,0,0
"698",1977,3,58,0,0
"699",1977,3,59,38,116
"700",1977,3,60,123,64
"701",1977,3,61,47,24
"702",1977,3,62,28,98
"703",1977,3,63,8.5,14
"704",1977,3,64,0,0
"705",1977,4,1,7439,21043
"706",1977,4,2,2606,2452
"707",1977,4,3,2264,1249
"708",1977,4,4,1116,1562
"709",1977,4,5,28108,2318
"710",1977,4,6,80722,3977
"711",1977,4,7,5984,4201
"712",1977,4,8,1520,96
"713",1977,4,9,1218,466
"714",1977,4,10,1349,57
"715",1977,4,11,1223,317
"716",1977,4,12,46,34
"717",1977,4,13,137,15
"718",1977,4,14,641,57
"719",1977,4,15,10499,8
"720",1977,4,16,12457,33
"721",1977,4,17,14023,151
"722",1977,4,18,4218,118
"723",1977,4,19,716,21
"724",1977,4,20,173,0
"725",1977,4,21,72,1
"726",1977,4,22,596,1
"727",1977,4,23,0,0
"728",1977,4,24,190,0
"729",1977,4,25,238,1
"730",1977,4,26,3851,37
"731",1977,4,27,86,21
"732",1977,4,28,704,3
"733",1977,4,29,1226,76
"734",1977,4,30,873,113
"735",1977,4,31,317,0
"736",1977,4,32,1122,36
"737",1977,4,33,346,3
"738",1977,4,34,0,0
"739",1977,4,35,1217,207
"740",1977,4,36,766,19
"741",1977,4,37,154,81
"742",1977,4,38,816.5,120.5
"743",1977,4,39,823,171.5
"744",1977,4,40,1857,3807
"745",1977,4,41,1,67
"746",1977,4,42,102,199.5
"747",1977,4,43,0,0
"748",1977,4,44,12,1828
"749",1977,4,45,4,1685
"750",1977,4,46,0,1029
"751",1977,4,47,0,69
"752",1977,4,48,0,1148
"753",1977,4,49,973,2275
"754",1977,4,50,0,0
"755",1977,4,51,0,0
"756",1977,4,52,0,0
"757",1977,4,53,0,0
"758",1977,4,54,0,0
"759",1977,4,55,0,0
"760",1977,4,56,0,0
"761",1977,4,57,0,0
"762",1977,4,58,2883,1245
"763",1977,4,59,2,582.5
"764",1977,4,60,588,374
"765",1977,4,61,703,358
"766",1977,4,62,373,3532
"767",1977,4,63,548.5,241.5
"768",1977,4,64,82.5,169
"769",1978,1,1,9414,24438
"770",1978,1,2,3085,2780
"771",1978,1,3,2695,1562
"772",1978,1,4,1457,1961
"773",1978,1,5,32804,2903
"774",1978,1,6,93955,5069
"775",1978,1,7,6706,4680
"776",1978,1,8,1733,123
"777",1978,1,9,2102,583
"778",1978,1,10,2615,134
"779",1978,1,11,2024,541
"780",1978,1,12,500,185
"781",1978,1,13,401,43
"782",1978,1,14,1314,185
"783",1978,1,15,15056,9
"784",1978,1,16,17718,86
"785",1978,1,17,17130,221
"786",1978,1,18,8019,226
"787",1978,1,19,1515,28
"788",1978,1,20,440,1
"789",1978,1,21,370,0
"790",1978,1,22,1730,8
"791",1978,1,23,526,24
"792",1978,1,24,400,1
"793",1978,1,25,439,1
"794",1978,1,26,4096,59
"795",1978,1,27,228,21
"796",1978,1,28,1275,20
"797",1978,1,29,2631,303
"798",1978,1,30,2031,457
"799",1978,1,31,1292,7
"800",1978,1,32,1296,57
"801",1978,1,33,993,14
"802",1978,1,34,147,11
"803",1978,1,35,2019,323
"804",1978,1,36,1498,54
"805",1978,1,37,223,110
"806",1978,1,38,2504.5,314.5
"807",1978,1,39,1178.5,230.5
"808",1978,1,40,2355,4926
"809",1978,1,41,0,94
"810",1978,1,42,106,259
"811",1978,1,43,0,0
"812",1978,1,44,12,2155
"813",1978,1,45,3,2036
"814",1978,1,46,0,1333
"815",1978,1,47,9,147
"816",1978,1,48,0,1348
"817",1978,1,49,1300,2715
"818",1978,1,50,3296,7352
"819",1978,1,51,1944,2251
"820",1978,1,52,91,130
"821",1978,1,53,583,645
"822",1978,1,54,6,21
"823",1978,1,55,19,73
"824",1978,1,56,187,702
"825",1978,1,57,25,612
"826",1978,1,58,2969,1315
"827",1978,1,59,134,874
"828",1978,1,60,751,512
"829",1978,1,61,783,438
"830",1978,1,62,500,3987
"831",1978,1,63,656,331
"832",1978,1,64,189,191
"833",1978,2,1,1134,1255
"834",1978,2,2,321,264
"835",1978,2,3,310,164
"836",1978,2,4,278,118
"837",1978,2,5,3048,208
"838",1978,2,6,5938,294
"839",1978,2,7,137,44
